# lambda albedo      g      Cext         K
   949.5 0.2453 0.6321 7.360e-22 9.796e+04
   955.0 0.2468 0.6316 7.311e-22 9.712e+04
   960.5 0.2483 0.6312 7.262e-22 9.628e+04
   966.1 0.2498 0.6308 7.213e-22 9.543e+04
   971.6 0.2513 0.6304 7.164e-22 9.459e+04
   977.2 0.2528 0.6301 7.115e-22 9.376e+04
   982.9 0.2543 0.6297 7.067e-22 9.294e+04
   988.6 0.2558 0.6294 7.018e-22 9.212e+04
   994.3 0.2573 0.6292 6.970e-22 9.130e+04
  1000.0 0.2590 0.6289 6.917e-22 9.041e+04
  1006.0 0.2608 0.6285 6.866e-22 8.952e+04
  1012.0 0.2626 0.6281 6.813e-22 8.861e+04
  1017.0 0.2644 0.6279 6.759e-22 8.769e+04
  1023.0 0.2663 0.6278 6.703e-22 8.674e+04
  1029.0 0.2682 0.6281 6.641e-22 8.571e+04
  1035.0 0.2701 0.6286 6.577e-22 8.466e+04
  1041.0 0.2720 0.6292 6.513e-22 8.363e+04
  1047.0 0.2738 0.6299 6.449e-22 8.260e+04
  1053.0 0.2755 0.6308 6.388e-22 8.162e+04
  1059.0 0.2769 0.6316 6.329e-22 8.070e+04
  1065.0 0.2784 0.6324 6.271e-22 7.981e+04
  1072.0 0.2797 0.6333 6.215e-22 7.895e+04
  1078.0 0.2811 0.6341 6.160e-22 7.811e+04
  1084.0 0.2825 0.6348 6.108e-22 7.729e+04
  1090.0 0.2838 0.6355 6.056e-22 7.649e+04
  1096.0 0.2852 0.6360 6.006e-22 7.571e+04
  1103.0 0.2866 0.6366 5.957e-22 7.494e+04
  1109.0 0.2880 0.6371 5.909e-22 7.420e+04
  1116.0 0.2894 0.6376 5.862e-22 7.346e+04
  1122.0 0.2908 0.6380 5.816e-22 7.274e+04
  1128.0 0.2922 0.6385 5.771e-22 7.203e+04
  1135.0 0.2937 0.6389 5.726e-22 7.133e+04
  1142.0 0.2951 0.6393 5.682e-22 7.064e+04
  1148.0 0.2965 0.6396 5.639e-22 6.997e+04
  1155.0 0.2980 0.6399 5.597e-22 6.930e+04
  1161.0 0.2994 0.6402 5.556e-22 6.864e+04
  1168.0 0.3009 0.6404 5.515e-22 6.800e+04
  1175.0 0.3024 0.6406 5.475e-22 6.736e+04
  1182.0 0.3038 0.6408 5.435e-22 6.673e+04
  1189.0 0.3053 0.6409 5.396e-22 6.611e+04
  1195.0 0.3069 0.6410 5.358e-22 6.549e+04
  1202.0 0.3084 0.6411 5.320e-22 6.489e+04
  1209.0 0.3099 0.6412 5.282e-22 6.429e+04
  1216.0 0.3114 0.6412 5.246e-22 6.370e+04
  1223.0 0.3130 0.6413 5.210e-22 6.312e+04
  1230.0 0.3145 0.6412 5.174e-22 6.255e+04
  1237.0 0.3161 0.6412 5.139e-22 6.199e+04
  1245.0 0.3177 0.6412 5.105e-22 6.143e+04
  1252.0 0.3192 0.6411 5.071e-22 6.088e+04
  1259.0 0.3208 0.6410 5.038e-22 6.034e+04
  1266.0 0.3224 0.6408 5.005e-22 5.981e+04
  1274.0 0.3241 0.6407 4.973e-22 5.928e+04
  1281.0 0.3257 0.6405 4.941e-22 5.876e+04
  1288.0 0.3273 0.6403 4.910e-22 5.825e+04
  1296.0 0.3290 0.6401 4.879e-22 5.774e+04
  1303.0 0.3312 0.6398 4.842e-22 5.711e+04
  1311.0 0.3327 0.6395 4.813e-22 5.664e+04
  1318.0 0.3343 0.6392 4.786e-22 5.618e+04
  1326.0 0.3360 0.6388 4.759e-22 5.573e+04
  1334.0 0.3376 0.6384 4.732e-22 5.528e+04
  1341.0 0.3393 0.6380 4.706e-22 5.484e+04
  1349.0 0.3409 0.6375 4.680e-22 5.440e+04
  1357.0 0.3427 0.6370 4.655e-22 5.397e+04
  1365.0 0.3444 0.6364 4.631e-22 5.354e+04
  1372.0 0.3462 0.6358 4.607e-22 5.312e+04
  1380.0 0.3480 0.6351 4.583e-22 5.271e+04
  1388.0 0.3498 0.6344 4.560e-22 5.229e+04
  1396.0 0.3518 0.6336 4.538e-22 5.188e+04
  1404.0 0.3538 0.6327 4.516e-22 5.147e+04
  1413.0 0.3559 0.6317 4.495e-22 5.105e+04
  1421.0 0.3584 0.6305 4.473e-22 5.061e+04
  1429.0 0.3611 0.6293 4.450e-22 5.015e+04
  1437.0 0.3641 0.6282 4.426e-22 4.964e+04
  1445.0 0.3675 0.6270 4.400e-22 4.908e+04
  1454.0 0.3711 0.6260 4.373e-22 4.850e+04
  1462.0 0.3748 0.6252 4.344e-22 4.789e+04
  1471.0 0.3787 0.6245 4.314e-22 4.727e+04
  1479.0 0.3826 0.6238 4.284e-22 4.664e+04
  1488.0 0.3866 0.6233 4.253e-22 4.602e+04
  1496.0 0.3908 0.6228 4.221e-22 4.535e+04
  1505.0 0.3953 0.6223 4.190e-22 4.468e+04
  1514.0 0.3997 0.6218 4.158e-22 4.402e+04
  1522.0 0.4043 0.6213 4.127e-22 4.336e+04
  1531.0 0.4089 0.6208 4.096e-22 4.270e+04
  1540.0 0.4137 0.6203 4.065e-22 4.204e+04
